Title,Bedrooms,Bathrooms,Carports,Agent,Price_num,Installment_num,Land_sqm,Building_sqm,Area,City,Price_sqm,property_type,price_per_land_m2,price_segment,land_building_ratio,Price_sqm_M,query,lat,lon
Rumah Luas 760 Mtr di Jl Utama Asem Baris 200 Meter Stasiun Tebet,7,4,4,Yolanda Lanes,16000000000.0,67000000,760,1020,Blok M,Jakarta Selatan,15686274.51,Residential,21052632.0,10–50B,0.75,15.68627451,"Blok M, Jakarta Selatan, Indonesia",-6.2448705,106.8009281
Rumah Luas 760 Mtr di Jl Utama Asem Baris 200 Meter Stasiun Tebet,7,4,4,Yolanda Lanes,16000000000.0,67000000,760,1020,Gudang Peluru,Jakarta Selatan,15686274.51,Residential,21052632.0,10–50B,0.75,15.68627451,"Gudang Peluru, Jakarta Selatan, Indonesia",-6.2286575,106.862256
Rumah Luas 760 Mtr di Jl Utama Asem Baris 200 Meter Stasiun Tebet,7,4,4,Yolanda Lanes,16000000000.0,67000000,760,1020,CBD,Jakarta Selatan,15686274.51,Residential,21052632.0,10–50B,0.75,15.68627451,"CBD, Jakarta Selatan, Indonesia",-6.1270291,106.7896196
Rumah Luas 760 Mtr di Jl Utama Asem Baris 200 Meter Stasiun Tebet,7,4,4,Yolanda Lanes,16000000000.0,67000000,760,1020,Bukit Duri,Jakarta Selatan,15686274.51,Residential,21052632.0,10–50B,0.75,15.68627451,"Bukit Duri, Jakarta Selatan, Indonesia",-6.2201045,106.8565986
Rumah Luas 760 Mtr di Jl Utama Asem Baris 200 Meter Stasiun Tebet,7,4,4,Yolanda Lanes,16000000000.0,67000000,760,1020,patra kuningan,Jakarta Selatan,15686274.51,Residential,21052632.0,10–50B,0.75,15.68627451,"patra kuningan, Jakarta Selatan, Indonesia",-6.2327037,106.8320428
Rumah Modern 3 Lantai + Rooftop Di Hook Lokasi Eksklusif Bintaro,3,4,1,Riszka Aprilia N,5350000000.0,22000000,267,400,Sektor 8-Bintaro,Jakarta Selatan,13375000.0,Residential,20037453.0,5–10B,0.67,13.375,"Sektor 8-Bintaro, Jakarta Selatan, Indonesia",-6.269965,106.7549023
Rumah Terawat Tanah Luas Area Jakarta Selatan Nego Sampai Deal,6,5,4,Riszka Aprilia N,6700000000.0,28000000,916,600,Ulujami,Jakarta Selatan,11166666.67,Residential,7314410.0,5–10B,1.53,11.16666667,"Ulujami, Jakarta Selatan, Indonesia",-6.2361505,106.7638814
Rumah Bangunan 70% Hook Dekat Senayan Jl Patal Senayan Iv,4,3,2,I Komang Anom Saputra,27900000000.0,118000000,603,450,Patal Senayan,Jakarta Selatan,62000000.0,Residential,46268657.0,10–50B,1.34,62.0,"Patal Senayan, Jakarta Selatan, Indonesia",-6.2186486,106.7922718
Jual Rumah Mewah Murah Rooftop Di Jagakarsa Jaksel,4,4,1,Abdul Gofar,3150000000.0,13000000,96,240,Jagakarsa,Jakarta Selatan,13125000.0,Residential,32812500.0,2–5B,0.4,13.125,"Jagakarsa, Jakarta Selatan, Indonesia",-6.3301011,106.8222371
"Turun Harga!! Rumah tempo doeloe di wilayah elit Guntur, Setiabudi, Jakarta Selatan",5,3,3,Susana S Simorangkir,16000000000.0,67000000,522,400,Guntur,Jakarta Selatan,40000000.0,Residential,30651341.0,10–50B,1.3,40.0,"Guntur, Jakarta Selatan, Indonesia",-6.2083826,106.8335573
"Dibawah Njop Rumah 2 Lantai Di Jl. Kapten Tendean, Hitung Tanah",7,7,4,"Dwi Novanda, Sh",27000000000.0,114000000,794,334,Kapten Tendean,Jakarta Selatan,80838323.35,Residential,34005038.0,10–50B,2.38,80.83832335,"Kapten Tendean, Jakarta Selatan, Indonesia",-6.240906,106.8266042
Rumah Dekat Kalibata City,2,2,1,Alfin Adil Ilyasyah,10000000000.0,42000000,834,350,Pengadegan,Jakarta Selatan,28571428.57,Residential,11990408.0,5–10B,2.38,28.571428570000002,"Pengadegan, Jakarta Selatan, Indonesia",-6.2502308,106.8545672
Rumah di Jl cikoko timur 2,14,6,1,Enny Suryani Harahap,8000000000.0,33000000,220,500,Cikoko,Jakarta Selatan,16000000.0,Residential,36363636.0,5–10B,0.44,16.0,"Cikoko, Jakarta Selatan, Indonesia",-6.2434846,106.8570718
Dijual Rumah Lama Hitung Tanah Lokasi Prime Area Kemang Dalam,5,4,4,Tono Griyapoint,30000000000.0,127000000,1063,500,Kemang,Jakarta Selatan,60000000.0,Residential,28222013.0,10–50B,2.13,60.0,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
Rumah Baru Design Modern Minimalist Lokasi Kemang Dalam,5,5,2,Tono Griyapoint,28000000000.0,118000000,515,510,Kemang,Jakarta Selatan,54901960.78,Residential,54368932.0,10–50B,1.01,54.90196078,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
Rumah 2 lantai kebayoran baru jakarta selatan,3,3,2,Mokhamad Dirham,30000000000.0,127000000,409,500,Kebayoran Baru,Jakarta Selatan,60000000.0,Residential,73349633.0,10–50B,0.82,60.0,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Rumah Lama Pondok Indah Prime area harga menarik jarang ada,4,3,2,Riri Natsir,17500000000.0,74000000,515,250,Pondok Indah,Jakarta Selatan,70000000.0,Residential,33980583.0,10–50B,2.06,70.0,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Dijual Rumah Mewah Dalam Komplek One Gate System Akses Jalan3 Mobil Lingkungan Tenang Dan Nyaman Lokasi Strategis,5,4,3,Cecep,16000000000.0,67000000,417,620,Tebet,Jakarta Selatan,25806451.61,Residential,38369305.0,10–50B,0.67,25.80645161,"Tebet, Jakarta Selatan, Indonesia",-6.2263977,106.8584389
Rumah Dalam Cluster Di Cilandak Ada S.pool,3,3,1,Arie Judha,8800000000.0,37000000,193,284,Cilandak,Jakarta Selatan,30985915.49,Residential,45595855.0,5–10B,0.68,30.98591549,"Cilandak, Jakarta Selatan, Indonesia",-6.2897982,106.7969264
Green Andara Residence Dekat Tol & Dekat Mall,6,4,1,Santi Arifin,4250000000.0,18000000,104,240,Lebak Bulus,Jakarta Selatan,17708333.33,Residential,40865385.0,2–5B,0.43,17.70833333,"Lebak Bulus, Jakarta Selatan, Indonesia",-6.3025678,106.7803539
